order_id,order_date,customer_id,city,device,channel,source,medium,campaign_name,coupon_code,product_count,order_revenue,shipping_cost,discount_amount,refund_amount,net_revenue,order_status,payment_method
SP-2024-000015,2024-10-01 08:43:53,CUST-01214,Istanbul,mobile,Organic Social,instagram,social,,BLACKFRIDAY30,2,3678.0,29.9,622.44,0.0,3055.56,pending,credit_card
SP-2024-000016,2024-10-01 12:28:18,CUST-00749,Adana,mobile,Paid Social,facebook,cpc,SP_Meta_BrandAwareness_Q4_2024,HOSGELDIN15,4,10016.0,0.0,1609.01,0.0,8406.99,completed,credit_card
SP-2024-000017,2024-10-01 15:42:47,CUST-03500,Sakarya,mobile,Organic Search,google,organic,,,2,2848.0,29.9,0.0,0.0,2848.0,completed,credit_card
SP-2024-000018,2024-10-01 00:25:38,CUST-03653,Antalya,mobile,Organic Search,google,organic,,YILBASI20,1,5139.0,0.0,1541.11,0.0,3597.89,completed,bank_transfer
SP-2024-000019,2024-10-01 20:03:28,CUST-03916,Istanbul,desktop,Organic Search,google,organic,,ILKALIS10,2,7048.0,0.0,1226.31,0.0,5821.69,completed,credit_card
SP-2024-000020,2024-10-01 12:56:16,CUST-03491,Istanbul,desktop,Paid Social,facebook,cpc,SP_Meta_DPA_Genel,BLACKFRIDAY30,1,2139.0,29.9,112.17,0.0,2026.83,completed,credit_card
SP-2024-000021,2024-10-01 11:23:46,CUST-00483,Malatya,desktop,Direct,(direct),(none),,SPORCU10,3,5727.0,0.0,1432.77,0.0,4294.23,completed,debit_card
SP-2024-000022,2024-10-01 09:07:16,CUST-00069,Manisa,mobile,Direct,(direct),(none),,,1,859.0,29.9,0.0,0.0,859.0,completed,debit_card
SP-2024-000023,2024-10-01 13:14:34,CUST-02842,Ankara,mobile,Paid Search,google,cpc,SP_Google_Search_Brand,UCRETSIZ_KARGO,1,4189.0,29.9,241.97,0.0,3947.03,completed,credit_card
SP-2024-000024,2024-10-01 11:07:02,CUST-02359,Ankara,mobile,Organic Search,google,organic,,,3,4557.0,0.0,0.0,0.0,4557.0,completed,credit_card
SP-2024-000025,2024-10-01 19:31:12,CUST-01214,Istanbul,mobile,Paid Video,youtube.com,cpc,,SPORCU10,1,1559.0,29.9,159.27,0.0,1399.73,shipped,credit_card
SP-2024-000026,2024-10-01 10:59:01,CUST-02361,Samsun,mobile,Organic Search,google,organic,,YILBASI20,1,2369.0,29.9,232.48,0.0,2136.52,completed,debit_card
SP-2024-000027,2024-10-01 09:00:59,CUST-01019,Istanbul,desktop,Paid Social,facebook,cpc,SP_Meta_BrandAwareness_Q4_2024,BLACKFRIDAY30,1,1619.0,29.9,278.28,0.0,1340.72,completed,debit_card
SP-2024-000028,2024-10-01 12:03:01,CUST-02189,Antalya,mobile,Direct,(direct),(none),,,2,4298.0,29.9,0.0,0.0,4298.0,completed,pay_at_door
SP-2024-000029,2024-10-01 19:33:33,CUST-04061,Istanbul,mobile,Paid Social,facebook,cpc,SP_Meta_BrandAwareness_Q4_2024,HOSGELDIN15,2,4948.0,0.0,738.56,0.0,4209.44,completed,credit_card
SP-2024-000030,2024-10-01 07:25:27,CUST-03582,Istanbul,mobile,Paid Search,google,cpc,SP_Google_Search_KosuAyakkabi,BLACKFRIDAY30,4,4116.0,29.9,389.69,0.0,3726.31,completed,credit_card
SP-2024-000031,2024-10-01 13:49:10,CUST-00592,Istanbul,mobile,Direct,(direct),(none),,,3,5497.0,0.0,0.0,1968.52,3528.48,refunded,debit_card
SP-2024-000032,2024-10-01 17:42:24,CUST-04338,Istanbul,desktop,Organic Search,google,organic,,UCRETSIZ_KARGO,1,419.0,29.9,65.58,0.0,353.42,completed,credit_card
SP-2024-000033,2024-10-01 21:12:47,CUST-01455,Istanbul,mobile,Organic Search,google,organic,,BLACKFRIDAY30,3,3337.0,29.9,483.72,2243.34,609.94,refunded,pay_at_door
SP-2024-000034,2024-10-01 15:58:09,CUST-03772,Istanbul,mobile,Direct,(direct),(none),,KISFIRSATI,2,1628.0,29.9,238.4,0.0,1389.6,cancelled,debit_card
SP-2024-000035,2024-10-01 22:26:37,CUST-04268,Istanbul,desktop,Paid Search,google,cpc,SP_Google_Search_KosuAyakkabi,,2,8178.0,0.0,0.0,0.0,8178.0,completed,credit_card
SP-2024-000036,2024-10-01 17:42:41,CUST-00206,Aydin,desktop,Organic Video,youtube.com,organic,,,1,1569.0,29.9,0.0,0.0,1569.0,cancelled,bank_transfer
SP-2024-000037,2024-10-01 11:37:38,CUST-02600,Adana,desktop,Direct,(direct),(none),,KISFIRSATI,1,3689.0,29.9,310.91,0.0,3378.09,completed,bank_transfer
SP-2024-000038,2024-10-01 13:33:41,CUST-00461,Balikesir,mobile,Organic Search,google,organic,,,3,5247.0,0.0,0.0,0.0,5247.0,completed,credit_card
SP-2024-000039,2024-10-01 07:45:37,CUST-02240,Adana,desktop,Paid Search,google,cpc,SP_Google_Search_Brand,,1,2479.0,29.9,0.0,0.0,2479.0,completed,pay_at_door
SP-2024-000040,2024-10-01 18:48:37,CUST-01618,Ankara,tablet,Organic Search,google,organic,,BAHAR25,5,11695.0,0.0,808.81,0.0,10886.19,completed,debit_card
SP-2024-000041,2024-10-01 01:08:53,CUST-02878,Kocaeli,mobile,Paid Search,google,cpc,SP_Google_Search_KosuAyakkabi,,4,11116.0,0.0,0.0,0.0,11116.0,completed,credit_card
SP-2024-000042,2024-10-01 20:17:12,CUST-02750,Istanbul,desktop,Organic Search,google,organic,,BAHAR25,4,7566.0,0.0,1478.07,0.0,6087.93,completed,pay_at_door
SP-2024-000043,2024-10-01 21:39:20,CUST-00355,Diyarbakir,desktop,Paid Social,facebook,cpc,SP_Meta_BrandAwareness_Q4_2024,,2,9338.0,0.0,0.0,0.0,9338.0,completed,credit_card
SP-2024-000044,2024-10-01 15:54:23,CUST-04792,Mugla,mobile,Organic Search,google,organic,,BLACKFRIDAY30,1,1979.0,29.9,224.96,0.0,1754.04,completed,credit_card
SP-2024-000045,2024-10-01 16:12:38,CUST-00255,Kayseri,desktop,Paid Search,google,cpc,SP_Google_Search_Krampon,YILBASI20,1,389.0,29.9,58.04,0.0,330.96,completed,credit_card
SP-2024-000046,2024-10-01 11:09:51,CUST-03585,Antalya,mobile,Direct,(direct),(none),,ILKALIS10,2,3078.0,29.9,549.23,0.0,2528.77,shipped,pay_at_door
SP-2024-000047,2024-10-01 13:45:33,CUST-00690,Hatay,mobile,Organic Social,instagram,social,,BAHAR25,1,689.0,29.9,152.5,0.0,536.5,completed,debit_card
SP-2024-000048,2024-10-01 12:42:45,CUST-03512,Adana,mobile,Paid Search,google,cpc,SP_Google_PMax_Genel,BAHAR25,2,2348.0,29.9,216.26,0.0,2131.74,completed,credit_card
SP-2024-000049,2024-10-01 13:49:41,CUST-03207,Samsun,mobile,Paid Search,google,cpc,SP_Google_Search_SporAyakkabi,UCRETSIZ_KARGO,1,3859.0,29.9,269.49,0.0,3589.51,shipped,pay_at_door
SP-2024-000050,2024-10-01 19:37:09,CUST-04240,Izmir,desktop,Organic Search,google,organic,,YILBASI20,2,4438.0,29.9,788.69,0.0,3649.31,completed,credit_card
SP-2024-000051,2024-10-01 15:17:22,CUST-00594,Konya,mobile,Direct,(direct),(none),,BLACKFRIDAY30,4,11106.0,0.0,1971.0,0.0,9135.0,completed,credit_card
SP-2024-000052,2024-10-01 12:14:46,CUST-03920,Istanbul,mobile,Paid Video,youtube.com,cpc,,KISFIRSATI,1,1149.0,29.9,71.97,0.0,1077.03,completed,bank_transfer
SP-2024-000053,2024-10-01 15:14:49,CUST-01363,Istanbul,desktop,Paid Social,facebook,cpc,SP_Meta_DPA_Genel,BAHAR25,1,2179.0,29.9,636.9,0.0,1542.1,completed,bank_transfer
SP-2024-000054,2024-10-01 10:59:37,CUST-00068,Izmir,desktop,Paid Search,google,cpc,SP_Google_PMax_Genel,HOSGELDIN15,1,1679.0,29.9,262.88,0.0,1416.12,cancelled,credit_card
SP-2024-000055,2024-10-01 23:10:07,CUST-01576,Istanbul,desktop,Direct,(direct),(none),,,1,1879.0,29.9,0.0,654.97,1224.03,refunded,pay_at_door
SP-2024-000056,2024-10-01 15:43:10,CUST-03773,Trabzon,desktop,Direct,(direct),(none),,,5,4345.0,29.9,0.0,0.0,4345.0,completed,bank_transfer
SP-2024-000057,2024-10-01 06:42:19,CUST-03120,Istanbul,mobile,Paid Social,instagram,cpc,SP_Meta_DPA_Genel,SPORCU10,1,539.0,29.9,47.21,0.0,491.79,completed,bank_transfer
SP-2024-000058,2024-10-01 18:01:33,CUST-02189,Antalya,mobile,Organic Search,google,organic,,KISFIRSATI,3,9287.0,0.0,1829.66,0.0,7457.34,completed,credit_card
SP-2024-000059,2024-10-01 18:06:39,CUST-04575,Malatya,mobile,Organic Search,google,organic,,BAHAR25,6,13974.0,0.0,1703.51,0.0,12270.49,completed,credit_card
SP-2024-000060,2024-10-01 20:22:17,CUST-01735,Konya,mobile,Paid Social,facebook,cpc,SP_Meta_DPA_Genel,,5,11455.0,0.0,1597.78,0.0,9857.22,completed,pay_at_door
SP-2024-000061,2024-10-01 15:58:19,CUST-01214,Istanbul,mobile,Organic Search,google,organic,,,3,9767.0,0.0,0.0,0.0,9767.0,completed,credit_card
SP-2024-000062,2024-10-01 13:00:02,CUST-03759,Kocaeli,desktop,Organic Search,google,organic,,UCRETSIZ_KARGO,3,5827.0,0.0,764.77,0.0,5062.23,completed,pay_at_door
SP-2024-000063,2024-10-01 08:11:16,CUST-02692,Gaziantep,mobile,Paid Video,youtube.com,cpc,,UCRETSIZ_KARGO,5,7275.0,0.0,591.8,0.0,6683.2,completed,credit_card
SP-2024-000064,2024-10-01 20:10:44,CUST-04061,Istanbul,desktop,Paid Social,instagram,cpc,SP_Meta_BrandAwareness_Q4_2024,,2,2188.0,29.9,79.49,0.0,2108.51,completed,credit_card
SP-2024-000065,2024-10-01 14:05:31,CUST-04456,Diyarbakir,mobile,Paid Search,google,cpc,SP_Google_Shopping_Giyim,BAHAR25,2,5758.0,0.0,946.45,4375.06,436.49,refunded,bank_transfer
SP-2024-000066,2024-10-01 13:38:41,CUST-02985,Izmir,mobile,Direct,(direct),(none),,,3,2427.0,29.9,0.0,0.0,2427.0,completed,credit_card
SP-2024-000067,2024-10-01 09:12:28,CUST-03811,Izmir,mobile,Direct,(direct),(none),,UCRETSIZ_KARGO,3,7447.0,0.0,1223.44,0.0,6223.56,completed,credit_card
SP-2024-000068,2024-10-01 11:42:24,CUST-03384,Istanbul,mobile,Organic Search,google,organic,,KISFIRSATI,2,3068.0,29.9,597.08,0.0,2470.92,completed,credit_card
SP-2024-000069,2024-10-01 22:48:36,CUST-01903,Izmir,mobile,Organic Search,google,organic,,BLACKFRIDAY30,1,4569.0,0.0,762.39,0.0,3806.61,completed,credit_card
SP-2024-000070,2024-10-01 12:02:21,CUST-01672,Istanbul,mobile,Paid Search,google,cpc,SP_Google_Shopping_Giyim,HOSGELDIN15,1,1629.0,29.9,249.03,0.0,1379.97,completed,credit_card
SP-2024-000071,2024-10-01 19:24:49,CUST-01394,Elazig,mobile,Direct,(direct),(none),,BAHAR25,2,2468.0,29.9,480.11,1378.67,609.22,refunded,bank_transfer
SP-2024-000072,2024-10-01 21:33:28,CUST-03238,Mersin,mobile,Organic Search,google,organic,,,1,4189.0,29.9,0.0,0.0,4189.0,completed,credit_card
SP-2024-000073,2024-10-01 23:16:52,CUST-04891,Ankara,mobile,Paid Search,google,cpc,SP_Google_Search_Krampon,HOSGELDIN15,6,12574.0,0.0,667.42,0.0,11906.58,completed,debit_card
SP-2024-000074,2024-10-01 18:02:34,CUST-02637,Konya,mobile,Paid Search,google,cpc,SP_Google_PMax_Genel,,1,2109.0,29.9,0.0,0.0,2109.0,completed,bank_transfer
SP-2024-000075,2024-10-01 09:28:35,CUST-02184,Ankara,desktop,Organic Search,google,organic,,YILBASI20,1,2619.0,29.9,303.49,0.0,2315.51,completed,credit_card
SP-2024-000076,2024-10-01 19:12:04,CUST-01735,Konya,mobile,Referral,trendyol.com,referral,,,3,8337.0,0.0,0.0,6831.64,1505.36,refunded,credit_card
SP-2024-000077,2024-10-01 19:25:39,CUST-03207,Samsun,desktop,Organic Social,twitter.com,social,,ILKALIS10,3,11907.0,0.0,1352.99,0.0,10554.01,completed,bank_transfer
SP-2024-000078,2024-10-01 22:27:28,CUST-00033,Istanbul,mobile,Paid Social,instagram,cpc,SP_Meta_DPA_Genel,,6,11594.0,0.0,657.63,0.0,10936.37,completed,credit_card
SP-2024-000079,2024-10-01 18:21:29,CUST-01532,Ankara,mobile,Direct,(direct),(none),,,1,1909.0,29.9,0.0,0.0,1909.0,completed,debit_card
SP-2024-000080,2024-10-01 09:04:22,CUST-01208,Istanbul,tablet,Organic Search,google,organic,,,7,14543.0,0.0,1372.07,0.0,13170.93,completed,credit_card
SP-2024-000081,2024-10-02 22:28:52,CUST-04655,Istanbul,mobile,Organic Search,google,organic,,ILKALIS10,1,2909.0,29.9,339.46,0.0,2569.54,completed,credit_card
SP-2024-000082,2024-10-02 11:12:12,CUST-02232,Izmir,mobile,Direct,(direct),(none),,KISFIRSATI,2,3958.0,29.9,733.27,0.0,3224.73,completed,credit_card
SP-2024-000083,2024-10-02 19:11:52,CUST-02882,Ankara,mobile,Organic Search,google,organic,,BLACKFRIDAY30,1,2959.0,29.9,456.14,0.0,2502.86,completed,bank_transfer
SP-2024-000084,2024-10-02 13:36:48,CUST-01025,Istanbul,tablet,Organic Search,google,organic,,,2,5728.0,0.0,0.0,0.0,5728.0,completed,pay_at_door
SP-2024-000085,2024-10-02 08:17:51,CUST-00111,Istanbul,mobile,Direct,(direct),(none),,SPORCU10,2,3088.0,29.9,410.02,0.0,2677.98,completed,credit_card
SP-2024-000086,2024-10-02 23:19:46,CUST-01462,Izmir,desktop,Paid Search,google,cpc,SP_Google_Search_Krampon,KISFIRSATI,4,5456.0,0.0,790.61,0.0,4665.39,completed,credit_card
SP-2024-000087,2024-10-02 18:24:52,CUST-04061,Istanbul,mobile,Direct,(direct),(none),,BLACKFRIDAY30,3,4367.0,29.9,165.98,0.0,4201.02,completed,bank_transfer
SP-2024-000088,2024-10-02 12:13:41,CUST-01041,Istanbul,desktop,Organic Search,google,organic,,HOSGELDIN15,2,6468.0,0.0,386.54,0.0,6081.46,completed,pay_at_door
SP-2024-000089,2024-10-02 10:01:13,CUST-01298,Istanbul,mobile,Paid Search,google,cpc,SP_Google_PMax_Genel,,3,8157.0,0.0,1148.67,0.0,7008.33,shipped,debit_card
SP-2024-000090,2024-10-02 20:46:40,CUST-01532,Ankara,desktop,Organic Search,google,organic,,KISFIRSATI,6,13134.0,0.0,811.6,0.0,12322.4,completed,credit_card
SP-2024-000091,2024-10-02 01:51:44,CUST-02694,Izmir,mobile,Referral,trendyol.com,referral,,,3,6757.0,0.0,1300.8,0.0,5456.2,completed,pay_at_door
SP-2024-000092,2024-10-02 09:22:17,CUST-00355,Diyarbakir,mobile,Organic Search,google,organic,,HOSGELDIN15,1,2049.0,29.9,133.91,0.0,1915.09,completed,debit_card
SP-2024-000093,2024-10-02 18:04:15,CUST-01423,Istanbul,mobile,Paid Social,facebook,cpc,SP_Meta_BrandAwareness_Q4_2024,,5,6435.0,0.0,0.0,0.0,6435.0,completed,credit_card
SP-2024-000094,2024-10-02 20:01:57,CUST-02184,Ankara,tablet,Paid Social,facebook,cpc,SP_Meta_DPA_Genel,,2,3388.0,29.9,0.0,0.0,3388.0,completed,debit_card
SP-2024-000095,2024-10-02 19:47:26,CUST-00167,Istanbul,tablet,Email,newsletter,email,,,1,1179.0,29.9,83.16,0.0,1095.84,completed,credit_card
SP-2024-000096,2024-10-02 09:00:54,CUST-00223,Kayseri,mobile,Organic Search,google,organic,,,2,1498.0,29.9,174.8,0.0,1323.2,completed,debit_card
SP-2024-000097,2024-10-02 11:50:49,CUST-00052,Istanbul,mobile,Referral,trendyol.com,referral,,,2,4738.0,0.0,0.0,0.0,4738.0,cancelled,credit_card
SP-2024-000098,2024-10-02 12:06:43,CUST-01998,Izmir,desktop,Paid Social,instagram,cpc,SP_Meta_DPA_Genel,,9,28131.0,0.0,3499.86,0.0,24631.14,completed,credit_card
SP-2024-000099,2024-10-02 20:50:18,CUST-00813,Ankara,desktop,Organic Search,google,organic,,,1,3759.0,29.9,0.0,0.0,3759.0,completed,credit_card
SP-2024-000100,2024-10-02 19:52:49,CUST-01298,Istanbul,mobile,Organic Search,google,organic,,,1,1539.0,29.9,0.0,0.0,1539.0,completed,credit_card
SP-2024-000101,2024-10-02 19:37:09,CUST-04274,Ankara,mobile,Paid Social,facebook,cpc,SP_Meta_DPA_Genel,,6,14044.0,0.0,191.49,0.0,13852.51,completed,credit_card
SP-2024-000102,2024-10-02 17:35:26,CUST-03283,Ankara,mobile,Paid Social,instagram,cpc,SP_Meta_DPA_Genel,BAHAR25,3,11167.0,0.0,460.8,0.0,10706.2,completed,debit_card
SP-2024-000103,2024-10-02 23:46:37,CUST-01773,Malatya,mobile,Paid Search,google,cpc,SP_Google_Shopping_Giyim,,1,1629.0,29.9,0.0,704.06,924.94,refunded,credit_card
SP-2024-000104,2024-10-02 08:56:02,CUST-04532,Istanbul,mobile,Organic Search,google,organic,,BLACKFRIDAY30,1,3859.0,29.9,604.17,0.0,3254.83,completed,credit_card
SP-2024-000105,2024-10-02 09:55:46,CUST-00355,Diyarbakir,mobile,Direct,(direct),(none),,YILBASI20,4,16626.0,0.0,1467.9,0.0,15158.1,completed,debit_card
SP-2024-000106,2024-10-02 22:42:45,CUST-04240,Izmir,mobile,Organic Search,google,organic,,KISFIRSATI,1,409.0,29.9,106.53,147.68,154.79,refunded,pay_at_door
SP-2024-000107,2024-10-02 10:48:45,CUST-01574,Izmir,mobile,Paid Social,instagram,cpc,SP_Meta_DPA_Genel,,4,6466.0,0.0,527.78,0.0,5938.22,completed,credit_card
SP-2024-000108,2024-10-02 17:33:05,CUST-03964,Konya,tablet,Paid Social,instagram,cpc,SP_Meta_BrandAwareness_Q4_2024,KISFIRSATI,1,4759.0,0.0,1210.93,0.0,3548.07,completed,bank_transfer
SP-2024-000109,2024-10-02 20:21:23,CUST-03947,Malatya,mobile,Organic Search,google,organic,,BAHAR25,1,879.0,29.9,60.11,0.0,818.89,completed,bank_transfer
SP-2024-000110,2024-10-02 14:10:11,CUST-03726,Istanbul,mobile,Paid Social,facebook,cpc,SP_Meta_BrandAwareness_Q4_2024,ILKALIS10,2,2108.0,29.9,198.18,0.0,1909.82,completed,pay_at_door
SP-2024-000111,2024-10-02 20:23:00,CUST-04279,Istanbul,desktop,Paid Social,instagram,cpc,SP_Meta_DPA_Genel,,3,2527.0,29.9,216.08,0.0,2310.92,cancelled,debit_card
SP-2024-000112,2024-10-02 15:11:05,CUST-02298,Ankara,tablet,Organic Search,bing,organic,,BLACKFRIDAY30,1,3249.0,29.9,356.05,0.0,2892.95,completed,credit_card
SP-2024-000113,2024-10-02 21:23:21,CUST-00302,Istanbul,mobile,Direct,(direct),(none),,,6,12624.0,0.0,469.11,0.0,12154.89,completed,credit_card
SP-2024-000114,2024-10-02 20:30:59,CUST-03512,Adana,desktop,Direct,(direct),(none),,HOSGELDIN15,3,3947.0,29.9,523.98,0.0,3423.02,shipped,bank_transfer
SP-2024-000115,2024-10-02 23:24:20,CUST-04059,Eskisehir,mobile,Direct,(direct),(none),,,2,4278.0,29.9,0.0,0.0,4278.0,completed,pay_at_door
SP-2024-000116,2024-10-02 23:15:06,CUST-01773,Malatya,mobile,Organic Search,google,organic,,,1,5139.0,0.0,0.0,0.0,5139.0,completed,credit_card
SP-2024-000117,2024-10-02 09:13:04,CUST-04635,Konya,mobile,Paid Social,instagram,cpc,SP_Meta_DPA_Genel,,1,1619.0,29.9,137.01,460.85,1021.14,refunded,credit_card
SP-2024-000118,2024-10-02 03:54:23,CUST-00825,Trabzon,mobile,Organic Social,instagram,social,,,1,1429.0,29.9,0.0,0.0,1429.0,completed,credit_card
SP-2024-000119,2024-10-02 18:47:33,CUST-00002,Manisa,desktop,Direct,(direct),(none),,,5,7385.0,0.0,890.07,0.0,6494.93,completed,credit_card
SP-2024-000120,2024-10-02 15:18:39,CUST-04812,Istanbul,desktop,Paid Search,google,cpc,SP_Google_PMax_Genel,,1,819.0,29.9,0.0,0.0,819.0,completed,debit_card
SP-2024-000121,2024-10-02 21:39:55,CUST-01196,Tekirdag,mobile,Organic Search,google,organic,,BAHAR25,1,5079.0,0.0,974.33,0.0,4104.67,completed,credit_card
SP-2024-000122,2024-10-02 21:52:51,CUST-00100,Istanbul,tablet,Organic Search,google,organic,,,1,1979.0,29.9,131.63,0.0,1847.37,completed,credit_card
SP-2024-000123,2024-10-02 20:05:51,CUST-02573,Istanbul,tablet,Organic Search,google,organic,,,1,6009.0,0.0,1275.33,0.0,4733.67,shipped,credit_card
SP-2024-000124,2024-10-02 21:37:31,CUST-00749,Adana,mobile,Paid Search,google,cpc,SP_Google_Search_KosuAyakkabi,UCRETSIZ_KARGO,2,2178.0,29.9,209.33,0.0,1968.67,completed,credit_card
SP-2024-000125,2024-10-02 09:41:23,CUST-00112,Eskisehir,tablet,Organic Search,google,organic,,,4,4656.0,0.0,578.93,0.0,4077.07,completed,debit_card
SP-2024-000126,2024-10-02 19:18:45,CUST-02982,Denizli,mobile,Organic Search,google,organic,,YILBASI20,2,3138.0,29.9,316.43,0.0,2821.57,completed,credit_card
SP-2024-000127,2024-10-02 20:31:33,CUST-03716,Istanbul,mobile,Organic Social,instagram,social,,,3,8007.0,0.0,469.61,6951.59,585.8,refunded,credit_card
SP-2024-000128,2024-10-02 20:25:24,CUST-00058,Bursa,mobile,Organic Search,google,organic,,BLACKFRIDAY30,3,12587.0,0.0,411.68,0.0,12175.32,completed,credit_card
SP-2024-000129,2024-10-02 10:31:45,CUST-01392,Eskisehir,mobile,Organic Search,google,organic,,ILKALIS10,3,5817.0,0.0,760.78,1757.01,3299.21,refunded,credit_card
SP-2024-000130,2024-10-02 19:29:57,CUST-03787,Istanbul,mobile,Organic Search,google,organic,,,1,3129.0,29.9,0.0,0.0,3129.0,completed,credit_card
SP-2024-000131,2024-10-02 14:20:54,CUST-02013,Ordu,desktop,Organic Search,google,organic,,,1,749.0,29.9,0.0,0.0,749.0,shipped,credit_card
SP-2024-000132,2024-10-02 16:28:41,CUST-04268,Istanbul,desktop,Paid Social,instagram,cpc,SP_Meta_DPA_Genel,,3,3047.0,29.9,0.0,0.0,3047.0,completed,credit_card
SP-2024-000133,2024-10-02 09:30:11,CUST-04132,Diyarbakir,mobile,Paid Social,facebook,cpc,SP_Meta_DPA_Genel,,3,1017.0,29.9,100.64,0.0,916.36,completed,credit_card
SP-2024-000134,2024-10-02 18:20:54,CUST-02238,Sanliurfa,mobile,Organic Search,google,organic,,,2,7308.0,0.0,360.7,0.0,6947.3,completed,pay_at_door
SP-2024-000135,2024-10-02 20:13:28,CUST-04891,Ankara,mobile,Organic Search,google,organic,,YILBASI20,1,5089.0,0.0,951.03,0.0,4137.97,completed,credit_card
SP-2024-000136,2024-10-02 06:10:24,CUST-04812,Istanbul,mobile,Organic Search,google,organic,,,1,1239.0,29.9,191.55,0.0,1047.45,completed,credit_card
SP-2024-000137,2024-10-02 11:10:23,CUST-04541,Erzurum,desktop,Referral,trendyol.com,referral,,BAHAR25,1,4189.0,29.9,600.85,0.0,3588.15,completed,credit_card
SP-2024-000138,2024-10-02 14:22:02,CUST-00461,Balikesir,tablet,Referral,whatsapp.com,referral,,SPORCU10,4,12846.0,0.0,1049.63,0.0,11796.37,completed,credit_card
SP-2024-000139,2024-10-02 08:57:47,CUST-03514,Konya,desktop,Paid Search,google,cpc,SP_Google_Search_KosuAyakkabi,,3,3457.0,29.9,0.0,0.0,3457.0,completed,credit_card
SP-2024-000140,2024-10-02 08:50:26,CUST-04643,Aydin,desktop,Organic Social,facebook,social,,,1,1169.0,29.9,0.0,0.0,1169.0,pending,credit_card
SP-2024-000141,2024-10-02 18:01:21,CUST-03582,Istanbul,mobile,Organic Search,google,organic,,,3,5507.0,0.0,0.0,0.0,5507.0,completed,debit_card
SP-2024-000142,2024-10-02 20:02:59,CUST-01874,Diyarbakir,tablet,Organic Search,google,organic,,BAHAR25,2,5898.0,0.0,1092.97,0.0,4805.03,completed,credit_card
SP-2024-000143,2024-10-02 20:31:59,CUST-03522,Diyarbakir,mobile,Organic Search,google,organic,,SPORCU10,2,9138.0,0.0,1707.71,0.0,7430.29,completed,credit_card
SP-2024-000144,2024-10-02 15:13:57,CUST-00825,Trabzon,mobile,Paid Search,google,cpc,SP_Google_Search_KosuAyakkabi,,2,838.0,29.9,0.0,0.0,838.0,completed,debit_card
SP-2024-000145,2024-10-02 22:33:14,CUST-02987,Konya,mobile,Direct,(direct),(none),,HOSGELDIN15,1,1339.0,29.9,204.94,0.0,1134.06,completed,credit_card
