date,itemId,itemName,itemCategory,itemCategory2,itemBrand,itemsViewed,itemsAddedToCart,itemsCheckedOut,itemsPurchased,itemRevenue,itemListViews,itemListClicks,cartToViewRate
20241001,SP-AKS-CR-009,Nike Everyday Cushioned 3'lü Unisex Çorap,Aksesuar,Çorap,Nike,17,5,2,1,342.59,68,21,0.2941
20241001,SP-AYK-HS-096,Salomon Predator Accuracy.3 TF Erkek Halı Saha,Ayakkabı,Halı Saha Ayakkabısı,Salomon,2,0,0,0,0.0,19,3,0.0
20241001,SP-GYM-MN-072,Jack & Jones Sportswear Windrunner Kadın Mont,Giyim,Mont,Jack & Jones,10,2,0,0,0.0,51,17,0.2
20241001,SP-AYK-KS-023,Asics Fresh Foam X 1080v13 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Asics,3,0,0,0,0.0,19,4,0.0
20241001,SP-GYM-MN-082,Levi's Thermoball Eco 2.0 Kadın Mont,Giyim,Mont,Levi's,8,1,0,0,0.0,46,14,0.125
20241001,SP-AYK-KS-025,Adidas Fresh Foam X 1080v13 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Adidas,13,1,0,0,0.0,79,17,0.0769
20241001,SP-GYM-EA-059,Jack & Jones Cotton Go Erkek Eşofman Altı,Giyim,Eşofman Altı,Jack & Jones,1,0,0,0,0.0,17,2,0.0
20241001,SP-AYK-TR-167,Puma Arizona Unisex Sandalet,Ayakkabı,Terlik,Puma,19,5,3,1,1943.08,64,22,0.2632
20241001,SP-GYM-EA-055,Levi's Essentials Fleece Erkek Eşofman Altı,Giyim,Eşofman Altı,Levi's,5,1,0,0,0.0,24,6,0.2
20241001,SP-AKS-CR-016,Nike Trefoil Liner 3'lü Erkek Çorap,Aksesuar,Çorap,Nike,12,1,0,0,0.0,53,19,0.0833
20241001,SP-GYM-EA-046,Nike Sportswear Club Kadın Eşofman Altı,Giyim,Eşofman Altı,Nike,1,0,0,0,0.0,7,2,0.0
20241001,SP-AYK-KS-014,Asics Ultraboost Light Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Asics,2,0,0,0,0.0,10,3,0.0
20241001,SP-GYM-ET-068,Puma Basic 3-Stripes Kadın Eşofman Takımı,Giyim,Eşofman Takımı,Puma,3,0,0,0,0.0,24,5,0.0
20241001,SP-AYK-KS-027,Hummel Nitro Elite 2 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Hummel,5,1,0,0,0.0,21,6,0.2
20241001,SP-AYK-SN-031,Hummel Air Force 1 '07 Erkek Sneaker,Ayakkabı,Sneaker,Hummel,16,4,1,0,0.0,56,19,0.25
20241001,SP-AYK-BT-179,Converse Manoa Leather Erkek Bot,Ayakkabı,Bot ve Çizme,Converse,3,0,0,0,0.0,27,4,0.0
20241001,SP-AKS-CR-011,Adidas Everyday Cushioned 3'lü Kadın Çorap,Aksesuar,Çorap,Adidas,10,2,0,0,0.0,33,11,0.2
20241001,SP-AYK-KS-029,Puma Nitro Elite 2 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Puma,4,0,0,0,0.0,38,6,0.0
20241001,SP-AYK-OD-132,Birkenstock Terrex AX4 Erkek Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Birkenstock,15,3,1,0,0.0,79,21,0.2
20241001,SP-AYK-SN-051,The North Face Old Skool Kadın Sneaker,Ayakkabı,Sneaker,The North Face,8,2,1,0,0.0,42,9,0.25
20241001,SP-AYK-BT-182,Reebok Nuptse II Erkek Bot,Ayakkabı,Bot ve Çizme,Reebok,19,3,1,0,0.0,77,29,0.1579
20241001,SP-GYM-FR-129,U.S. Polo Assn. Beşiktaş 2024/25 İç Saha Forması,Giyim,Forma,U.S. Polo Assn.,1,0,0,0,0.0,20,3,0.0
20241001,SP-AYK-HS-097,Crocs Predator Accuracy.3 TF Erkek Halı Saha,Ayakkabı,Halı Saha Ayakkabısı,Crocs,2,0,0,0,0.0,18,3,0.0
20241001,SP-AYK-HS-098,Lacoste Predator Accuracy.3 TF Erkek Halı Saha,Ayakkabı,Halı Saha Ayakkabısı,Lacoste,2,0,0,0,0.0,22,4,0.0
20241001,SP-AYK-TR-142,Birkenstock Victori One Slide Kadın Terlik,Ayakkabı,Terlik,Birkenstock,23,3,1,0,0.0,70,25,0.1304
20241001,SP-GYM-SR-105,Nike Dri-FIT Challenger Erkek Koşu Şort,Giyim,Şort,Nike,6,1,0,0,0.0,46,9,0.1667
20241001,SP-AYK-SN-038,Birkenstock Stan Smith Erkek Sneaker,Ayakkabı,Sneaker,Birkenstock,13,1,0,0,0.0,65,16,0.0769
20241001,SP-GYM-SR-112,Columbia Aeroready Kadın Şort,Giyim,Şort,Columbia,9,2,0,0,0.0,50,13,0.2222
20241001,SP-GYM-ET-066,Jack & Jones Sportswear Sport Essentials Kadın Eşofman Takımı,Giyim,Eşofman Takımı,Jack & Jones,7,2,1,0,0.0,44,9,0.2857
20241001,SP-AYK-GN-090,Adidas Go Walk 7 Kadın Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Adidas,10,2,0,0,0.0,74,14,0.2
20241001,SP-AYK-SN-039,Birkenstock Stan Smith Kadın Sneaker,Ayakkabı,Sneaker,Birkenstock,5,1,0,0,0.0,34,7,0.2
20241001,SP-GYM-SW-033,Columbia Essentials 3-Stripes Erkek Sweatshirt,Giyim,Sweatshirt,Columbia,3,0,0,0,0.0,18,5,0.0
20241001,SP-AKS-CR-020,The North Face Trefoil Liner 3'lü Kadın Çorap,Aksesuar,Çorap,The North Face,5,0,0,0,0.0,43,8,0.0
20241001,SP-GYM-EA-060,Jack & Jones Cotton Go Kadın Eşofman Altı,Giyim,Eşofman Altı,Jack & Jones,1,0,0,0,0.0,12,2,0.0
20241001,SP-GYM-SR-109,Hummel Aeroready Erkek Şort,Giyim,Şort,Hummel,10,2,0,0,0.0,60,15,0.2
20241001,SP-AYK-OD-126,Hummel Terrex AX4 Erkek Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Hummel,6,1,0,0,0.0,37,7,0.1667
20241001,SP-GYM-TS-025,The North Face Tech Erkek Antrenman Tişört,Giyim,Tişört,The North Face,10,1,0,0,0.0,64,12,0.1
20241001,SP-AYK-BK-113,Birkenstock LeBron XXI Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Birkenstock,4,1,0,0,0.0,17,5,0.25
20241001,SP-AYK-SN-063,Lacoste Chuck Taylor All Star Kadın Sneaker,Ayakkabı,Sneaker,Lacoste,10,1,0,0,0.0,65,16,0.1
20241001,SP-AYK-GN-089,Adidas Go Walk 7 Erkek Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Adidas,2,0,0,0,0.0,24,3,0.0
20241001,SP-GYM-SW-037,Under Armour Core Logo Erkek Hoodie,Giyim,Sweatshirt,Under Armour,17,3,1,0,0.0,60,19,0.1765
20241001,SP-AYK-SN-040,Birkenstock Stan Smith Unisex Sneaker,Ayakkabı,Sneaker,Birkenstock,5,0,0,0,0.0,31,7,0.0
20241001,SP-AYK-KS-006,Columbia Air Zoom Pegasus 41 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Columbia,7,1,0,0,0.0,28,10,0.1429
20241001,SP-AYK-BT-178,Crocs Manoa Leather Erkek Bot,Ayakkabı,Bot ve Çizme,Crocs,4,1,0,0,0.0,51,8,0.25
20241001,SP-AYK-OD-124,Birkenstock X Ultra 4 GTX Erkek Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Birkenstock,2,0,0,0,0.0,18,4,0.0
20241001,SP-AKS-SPC-048,Puma Brasilia M Duffel Unisex Spor Çantası,Aksesuar,Spor Çantası,Puma,11,1,0,0,0.0,57,17,0.0909
20241001,SP-AYK-TR-146,Columbia Victori One Slide Unisex Terlik,Ayakkabı,Terlik,Columbia,16,3,2,1,947.75,79,20,0.1875
20241001,SP-AKS-SP-041,Puma Baseball Cap Kadın Şapka,Aksesuar,Şapka,Puma,16,4,1,0,0.0,78,18,0.25
20241001,SP-GYM-EA-052,Adidas Essentials Fleece Kadın Eşofman Altı,Giyim,Eşofman Altı,Adidas,7,1,0,0,0.0,26,8,0.1429
20241001,SP-AYK-KS-030,Puma Nitro Elite 2 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Puma,6,1,0,0,0.0,42,8,0.1667
20241001,SP-GYM-ET-069,Under Armour Basic 3-Stripes Erkek Eşofman Takımı,Giyim,Eşofman Takımı,Under Armour,13,1,0,0,0.0,58,16,0.0769
20241001,SP-AYK-BT-185,Nike Nuptse II Kadın Bot,Ayakkabı,Bot ve Çizme,Nike,14,2,1,0,0.0,67,23,0.1429
20241001,SP-GYM-SW-031,Adidas Club Fleece Crew Erkek Sweatshirt,Giyim,Sweatshirt,Adidas,18,6,3,1,1342.65,72,20,0.3333
20241001,SP-AYK-BT-181,Salomon Nuptse II Kadın Bot,Ayakkabı,Bot ve Çizme,Salomon,7,1,0,0,0.0,36,10,0.1429
20241001,SP-AYK-HS-099,Nike Predator Accuracy.3 TF Erkek Halı Saha,Ayakkabı,Halı Saha Ayakkabısı,Nike,3,0,0,0,0.0,25,5,0.0
20241001,SP-GYM-JN-122,Under Armour 511 Slim Fit Erkek Jean,Giyim,Jean,Under Armour,1,0,0,0,0.0,6,2,0.0
20241001,SP-GYM-MN-088,Lacoste Silver Ridge Kadın Yağmurluk,Giyim,Mont,Lacoste,4,0,0,0,0.0,35,6,0.0
20241001,SP-AYK-SN-064,Lacoste Chuck Taylor All Star Unisex Sneaker,Ayakkabı,Sneaker,Lacoste,7,1,0,0,0.0,57,8,0.1429
20241001,SP-GYM-SW-035,Jack & Jones Essentials 3-Stripes Erkek Sweatshirt,Giyim,Sweatshirt,Jack & Jones,20,3,1,0,0.0,79,26,0.15
20241001,SP-AYK-SN-052,The North Face Old Skool Unisex Sneaker,Ayakkabı,Sneaker,The North Face,6,2,0,0,0.0,39,9,0.3333
20241001,SP-AKS-SC-046,U.S. Polo Assn. Linear Backpack Unisex Sırt Çantası,Aksesuar,Sırt Çantası,U.S. Polo Assn.,7,1,0,0,0.0,44,9,0.1429
20241001,SP-AYK-TR-163,Skechers Classic Clog Kadın Terlik,Ayakkabı,Terlik,Skechers,6,0,0,0,0.0,52,8,0.0
20241001,SP-AYK-KR-110,Skechers Copa Pure II Elite FG Erkek Krampon,Ayakkabı,Krampon,Skechers,7,1,0,0,0.0,47,9,0.1429
20241001,SP-AYK-SN-058,Under Armour Chuck Taylor All Star Unisex Sneaker,Ayakkabı,Sneaker,Under Armour,19,3,1,0,0.0,60,22,0.1579
20241001,SP-GYM-TS-015,New Balance Cotton Logo Erkek Tişört,Giyim,Tişört,New Balance,7,1,0,0,0.0,49,9,0.1429
20241001,SP-AYK-TR-141,Birkenstock Victori One Slide Erkek Terlik,Ayakkabı,Terlik,Birkenstock,16,5,2,0,0.0,66,19,0.3125
20241001,SP-AYK-TR-145,Columbia Victori One Slide Kadın Terlik,Ayakkabı,Terlik,Columbia,14,2,0,0,0.0,79,16,0.1429
20241001,SP-AKS-EB-058,Nike Fleece Bere ve Eldiven Seti,Aksesuar,Eldiven ve Bere,Nike,17,3,1,0,0.0,73,19,0.1765
20241001,SP-AYK-SN-053,Birkenstock Old Skool Erkek Sneaker,Ayakkabı,Sneaker,Birkenstock,9,2,1,0,0.0,46,14,0.2222
20241001,SP-AYK-TR-154,Adidas Adilette Comfort Kadın Terlik,Ayakkabı,Terlik,Adidas,11,2,0,0,0.0,42,14,0.1818
20241001,SP-GYM-TS-019,Nike Tech Erkek Antrenman Tişört,Giyim,Tişört,Nike,14,1,0,0,0.0,44,15,0.0714
20241001,SP-AYK-OD-137,The North Face Facet 75 Mid Kadın Outdoor Bot,Ayakkabı,Outdoor Ayakkabı,The North Face,7,1,0,0,0.0,51,9,0.1429
20241001,SP-GYM-FR-126,Vans Fenerbahçe 2024/25 İç Saha Forması,Giyim,Forma,Vans,13,1,0,0,0.0,58,19,0.0769
20241001,SP-AKS-SP-030,Adidas H86 Futura Washed Unisex Şapka,Aksesuar,Şapka,Adidas,10,1,0,0,0.0,45,14,0.1
20241001,SP-AYK-OD-122,Hummel X Ultra 4 GTX Erkek Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Hummel,5,0,0,0,0.0,44,7,0.0
20241001,SP-AYK-VL-174,Birkenstock Gel-Task MT 3 Kadın Voleybol Ayakkabısı,Ayakkabı,Voleybol Ayakkabısı,Birkenstock,7,2,0,0,0.0,46,8,0.2857
20241001,SP-GYM-MN-071,Jack & Jones Sportswear Windrunner Erkek Mont,Giyim,Mont,Jack & Jones,4,1,0,0,0.0,17,6,0.25
20241001,SP-AYK-SN-035,Reebok Stan Smith Erkek Sneaker,Ayakkabı,Sneaker,Reebok,4,1,0,0,0.0,26,5,0.25
20241001,SP-AYK-BT-180,Salomon Nuptse II Erkek Bot,Ayakkabı,Bot ve Çizme,Salomon,6,1,0,0,0.0,26,8,0.1667
20241001,SP-GYM-CK-100,Levi's Run Favorite Kadın Ceket,Giyim,Ceket,Levi's,8,1,0,0,0.0,37,13,0.125
20241001,SP-AKS-CR-017,Nike Trefoil Liner 3'lü Kadın Çorap,Aksesuar,Çorap,Nike,9,2,1,0,0.0,39,10,0.2222
20241001,SP-GYM-SW-041,Jack & Jones Core Logo Erkek Hoodie,Giyim,Sweatshirt,Jack & Jones,11,3,1,0,0.0,43,15,0.2727
20241001,SP-AYK-SN-047,Nike Old Skool Erkek Sneaker,Ayakkabı,Sneaker,Nike,19,4,2,1,1606.36,79,25,0.2105
20241001,SP-AYK-SN-076,Vans Club C 85 Kadın Sneaker,Ayakkabı,Sneaker,Vans,18,2,1,0,0.0,53,20,0.1111
20241001,SP-AYK-TR-162,Skechers Classic Clog Erkek Terlik,Ayakkabı,Terlik,Skechers,11,3,1,0,0.0,70,15,0.2727
20241001,SP-AKS-CR-015,U.S. Polo Assn. Trefoil Liner 3'lü Unisex Çorap,Aksesuar,Çorap,U.S. Polo Assn.,6,0,0,0,0.0,28,9,0.0
20241001,SP-GYM-CK-097,Puma Sportswear Windrunner Erkek Rüzgarlık,Giyim,Ceket,Puma,5,1,0,0,0.0,23,6,0.2
20241001,SP-GYM-CK-102,Under Armour Run Favorite Kadın Ceket,Giyim,Ceket,Under Armour,16,4,2,0,0.0,69,17,0.25
20241001,SP-AYK-TR-155,Adidas Adilette Comfort Unisex Terlik,Ayakkabı,Terlik,Adidas,17,5,2,0,0.0,59,20,0.2941
20241001,SP-GYM-TS-009,Reebok Trefoil Essentials Erkek Tişört,Giyim,Tişört,Reebok,8,1,0,0,0.0,63,12,0.125
20241001,SP-GYM-MN-080,Vans Thermoball Eco 2.0 Kadın Mont,Giyim,Mont,Vans,14,4,2,1,4075.31,64,23,0.2857
20241001,SP-AYK-HS-102,Birkenstock Future 7 Play TT Erkek Halı Saha,Ayakkabı,Halı Saha Ayakkabısı,Birkenstock,5,1,0,0,0.0,51,8,0.2
20241001,SP-AYK-SN-075,Vans Club C 85 Erkek Sneaker,Ayakkabı,Sneaker,Vans,11,3,1,0,0.0,74,16,0.2727
20241001,SP-GYM-CK-103,Puma Run Favorite Erkek Ceket,Giyim,Ceket,Puma,2,0,0,0,0.0,13,4,0.0
20241001,SP-AYK-OD-133,Birkenstock Terrex AX4 Kadın Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Birkenstock,4,1,0,0,0.0,25,8,0.25
20241001,SP-AYK-KS-005,Columbia Air Zoom Pegasus 41 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Columbia,16,3,1,0,0.0,64,20,0.1875
20241001,SP-AYK-HS-094,The North Face Mercurial Vapor 15 Club TF Erkek Halı Saha,Ayakkabı,Halı Saha Ayakkabısı,The North Face,8,1,0,0,0.0,37,9,0.125
20241001,SP-GYM-SW-034,Columbia Essentials 3-Stripes Kadın Sweatshirt,Giyim,Sweatshirt,Columbia,10,2,1,0,0.0,63,15,0.2
20241001,SP-AKS-CR-010,Adidas Everyday Cushioned 3'lü Erkek Çorap,Aksesuar,Çorap,Adidas,16,2,1,0,0.0,60,18,0.125
20241001,SP-AYK-KR-105,Skechers Mercurial Superfly 9 Elite FG Erkek Krampon,Ayakkabı,Krampon,Skechers,5,1,0,0,0.0,18,7,0.2
20241001,SP-AYK-TR-151,Columbia Adilette Comfort Kadın Terlik,Ayakkabı,Terlik,Columbia,9,2,1,0,0.0,61,13,0.2222
20241001,SP-GYM-SW-032,Adidas Club Fleece Crew Kadın Sweatshirt,Giyim,Sweatshirt,Adidas,7,0,0,0,0.0,40,9,0.0
20241001,SP-AYK-KS-001,New Balance Air Zoom Pegasus 41 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,New Balance,13,1,0,0,0.0,73,20,0.0769
20241001,SP-AYK-GN-083,Asics Tanjun Erkek Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Asics,11,2,1,0,0.0,61,15,0.1818
20241001,SP-GYM-EA-050,Vans Sportswear Club Kadın Eşofman Altı,Giyim,Eşofman Altı,Vans,1,0,0,0,0.0,14,2,0.0
20241001,SP-AYK-KR-108,Birkenstock Predator Elite FG Erkek Krampon,Ayakkabı,Krampon,Birkenstock,3,0,0,0,0.0,26,6,0.0
20241001,SP-GYM-ET-065,Jack & Jones Sportswear Sport Essentials Erkek Eşofman Takımı,Giyim,Eşofman Takımı,Jack & Jones,12,2,1,0,0.0,67,16,0.1667
20241001,SP-AYK-KS-008,Skechers Air Zoom Pegasus 41 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Skechers,17,5,2,1,2694.26,57,22,0.2941
20241001,SP-AYK-VL-172,Columbia Gel-Task MT 3 Kadın Voleybol Ayakkabısı,Ayakkabı,Voleybol Ayakkabısı,Columbia,3,0,0,0,0.0,13,4,0.0
20241001,SP-AYK-OD-136,The North Face Facet 75 Mid Erkek Outdoor Bot,Ayakkabı,Outdoor Ayakkabı,The North Face,2,0,0,0,0.0,11,3,0.0
20241001,SP-AYK-SN-067,Salomon Suede Classic XXI Erkek Sneaker,Ayakkabı,Sneaker,Salomon,12,2,0,0,0.0,44,16,0.1667
20241001,SP-AYK-GN-086,Hummel Lite Racer Adapt 6.0 Kadın Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Hummel,15,2,1,0,0.0,73,22,0.1333
20241001,SP-AYK-BK-116,Lacoste Air Jordan 1 Mid Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Lacoste,7,2,1,0,0.0,37,12,0.2857
20241001,SP-AYK-TR-157,Asics Adilette Comfort Kadın Terlik,Ayakkabı,Terlik,Asics,13,2,0,0,0.0,46,14,0.1538
20241001,SP-AKS-SP-033,U.S. Polo Assn. H86 Futura Washed Unisex Şapka,Aksesuar,Şapka,U.S. Polo Assn.,13,3,1,0,0.0,65,21,0.2308
20241001,SP-GYM-TY-139,Lacoste Pro Dri-FIT Kadın Tayt,Giyim,Tayt,Lacoste,9,2,1,0,0.0,41,11,0.2222
20241001,SP-GYM-FR-130,Lacoste Beşiktaş 2024/25 İç Saha Forması,Giyim,Forma,Lacoste,7,2,1,0,0.0,32,11,0.2857
20241001,SP-GYM-TS-017,Lacoste Cotton Logo Erkek Tişört,Giyim,Tişört,Lacoste,5,1,0,0,0.0,43,7,0.2
20241001,SP-AYK-KS-015,Asics Gel-Nimbus 26 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Asics,8,1,0,0,0.0,43,10,0.125
20241001,SP-GYM-JN-114,Under Armour 501 Original Fit Kadın Jean,Giyim,Jean,Under Armour,9,1,0,0,0.0,60,12,0.1111
20241001,SP-GYM-MN-079,Vans Thermoball Eco 2.0 Erkek Mont,Giyim,Mont,Vans,9,2,0,0,0.0,56,13,0.2222
20241001,SP-GYM-FR-128,Levi's Fenerbahçe 2024/25 İç Saha Forması,Giyim,Forma,Levi's,13,4,1,0,0.0,62,18,0.3077
20241001,SP-AKS-SP-038,The North Face Baseball Cap Kadın Şapka,Aksesuar,Şapka,The North Face,7,1,0,0,0.0,28,9,0.1429
20241001,SP-AYK-BK-118,Hummel Air Jordan 1 Mid Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Hummel,2,0,0,0,0.0,22,3,0.0
20241001,SP-GYM-SW-038,Under Armour Core Logo Kadın Hoodie,Giyim,Sweatshirt,Under Armour,12,3,1,0,0.0,66,16,0.25
20241001,SP-AYK-KS-024,Asics Fresh Foam X 1080v13 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Asics,5,0,0,0,0.0,24,7,0.0
20241001,SP-AYK-SN-068,Salomon Suede Classic XXI Kadın Sneaker,Ayakkabı,Sneaker,Salomon,5,0,0,0,0.0,25,7,0.0
20241001,SP-GYM-TS-022,Columbia Tech Kadın Antrenman Tişört,Giyim,Tişört,Columbia,4,0,0,0,0.0,33,8,0.0
20241001,SP-AYK-OD-130,New Balance Terrex AX4 Erkek Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,New Balance,1,0,0,0,0.0,15,2,0.0
20241001,SP-AYK-TR-164,Skechers Classic Clog Unisex Terlik,Ayakkabı,Terlik,Skechers,9,1,0,0,0.0,58,11,0.1111
20241001,SP-AYK-KS-019,Under Armour Fresh Foam X 1080v13 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Under Armour,8,1,0,0,0.0,56,13,0.125
20241001,SP-AYK-GN-087,Skechers Lite Racer Adapt 6.0 Erkek Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Skechers,4,1,0,0,0.0,23,5,0.25
20241001,SP-GYM-JN-113,Under Armour 501 Original Fit Erkek Jean,Giyim,Jean,Under Armour,3,0,0,0,0.0,31,5,0.0
20241001,SP-AYK-VL-175,Salomon Gel-Task MT 3 Erkek Voleybol Ayakkabısı,Ayakkabı,Voleybol Ayakkabısı,Salomon,16,4,1,0,0.0,65,17,0.25
20241001,SP-GYM-TY-135,Jack & Jones Pro Dri-FIT Kadın Tayt,Giyim,Tayt,Jack & Jones,10,2,1,0,0.0,56,11,0.2
20241001,SP-GYM-CK-091,Hummel Sportswear Windrunner Erkek Rüzgarlık,Giyim,Ceket,Hummel,6,1,0,0,0.0,34,10,0.1667
20241001,SP-GYM-TS-001,Adidas Sportswear Essential Erkek Tişört,Giyim,Tişört,Adidas,4,0,0,0,0.0,21,6,0.0
20241001,SP-AYK-TR-138,Reebok Victori One Slide Erkek Terlik,Ayakkabı,Terlik,Reebok,6,0,0,0,0.0,54,9,0.0
20241001,SP-AKS-BC-051,U.S. Polo Assn. Heritage Hip Pack Unisex Bel Çantası,Aksesuar,Bel Çantası,U.S. Polo Assn.,4,0,0,0,0.0,20,5,0.0
20241001,SP-AYK-KS-003,Nike Air Zoom Pegasus 41 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Nike,15,4,2,1,3288.35,58,21,0.2667
20241001,SP-GYM-CK-104,Puma Run Favorite Kadın Ceket,Giyim,Ceket,Puma,6,1,0,0,0.0,45,10,0.1667
20241001,SP-AYK-VL-173,Birkenstock Gel-Task MT 3 Erkek Voleybol Ayakkabısı,Ayakkabı,Voleybol Ayakkabısı,Birkenstock,18,2,1,0,0.0,59,23,0.1111
20241001,SP-GYM-FR-124,The North Face Galatasaray 2024/25 İç Saha Forması,Giyim,Forma,The North Face,15,2,0,0,0.0,76,20,0.1333
20241001,SP-GYM-JN-118,Reebok 501 Original Fit Kadın Jean,Giyim,Jean,Reebok,1,0,0,0,0.0,14,2,0.0
20241001,SP-AYK-SN-059,Puma Chuck Taylor All Star Erkek Sneaker,Ayakkabı,Sneaker,Puma,8,1,0,0,0.0,68,11,0.125
20241001,SP-GYM-ET-067,Puma Basic 3-Stripes Erkek Eşofman Takımı,Giyim,Eşofman Takımı,Puma,11,2,0,0,0.0,50,14,0.1818
20241001,SP-AYK-KR-106,Puma Mercurial Superfly 9 Elite FG Erkek Krampon,Ayakkabı,Krampon,Puma,12,3,1,0,0.0,64,21,0.25
20241001,SP-AYK-KS-007,Skechers Air Zoom Pegasus 41 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Skechers,5,0,0,0,0.0,35,9,0.0
20241001,SP-GYM-TY-137,New Balance Pro Dri-FIT Kadın Tayt,Giyim,Tayt,New Balance,4,0,0,0,0.0,29,7,0.0
20241001,SP-AYK-TR-168,Skechers Arizona Erkek Sandalet,Ayakkabı,Terlik,Skechers,8,1,0,0,0.0,64,9,0.125
20241001,SP-AYK-SN-043,Columbia Stan Smith Unisex Sneaker,Ayakkabı,Sneaker,Columbia,1,0,0,0,0.0,13,2,0.0
20241001,SP-AYK-SN-069,Nike Club C 85 Erkek Sneaker,Ayakkabı,Sneaker,Nike,7,1,0,0,0.0,64,10,0.1429
20241001,SP-GYM-JN-117,Reebok 501 Original Fit Erkek Jean,Giyim,Jean,Reebok,16,4,2,1,1964.81,55,18,0.25
20241001,SP-AYK-SN-046,Reebok Old Skool Unisex Sneaker,Ayakkabı,Sneaker,Reebok,9,2,0,0,0.0,53,13,0.2222
20241001,SP-GYM-TS-013,Nike Cotton Logo Erkek Tişört,Giyim,Tişört,Nike,1,0,0,0,0.0,13,2,0.0
