order_id,line_id,item_id,item_name,item_category,item_category2,item_brand,quantity,unit_price,line_total,discount_amount,refund_amount
SP-2024-000016,1,SP-GYM-TS-010,Reebok Trefoil Essentials Kadın Tişört,Giyim,Tişört,Reebok,1,819.0,819.0,0.0,0.0
SP-2024-000016,2,SP-GYM-MN-086,New Balance Silver Ridge Kadın Yağmurluk,Giyim,Mont,New Balance,2,3089.0,6178.0,0.0,0.0
SP-2024-000016,3,SP-AYK-KS-008,Skechers Air Zoom Pegasus 41 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Skechers,1,3019.0,3019.0,0.0,0.0
SP-2024-000017,1,SP-GYM-TS-021,Columbia Tech Erkek Antrenman Tişört,Giyim,Tişört,Columbia,1,1059.0,1059.0,0.0,0.0
SP-2024-000017,2,SP-GYM-SW-043,Columbia Core Logo Erkek Hoodie,Giyim,Sweatshirt,Columbia,1,1789.0,1789.0,0.0,0.0
SP-2024-000018,1,SP-AYK-OD-123,Hummel X Ultra 4 GTX Kadın Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Hummel,1,5139.0,5139.0,1541.11,0.0
SP-2024-000019,1,SP-AYK-KS-030,Puma Nitro Elite 2 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Puma,1,3749.0,3749.0,0.0,0.0
SP-2024-000019,2,SP-AYK-OD-131,New Balance Terrex AX4 Kadın Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,New Balance,1,3299.0,3299.0,0.0,0.0
SP-2024-000020,1,SP-AYK-TR-167,Puma Arizona Unisex Sandalet,Ayakkabı,Terlik,Puma,1,2139.0,2139.0,0.0,0.0
SP-2024-000021,1,SP-AYK-TR-165,Puma Arizona Erkek Sandalet,Ayakkabı,Terlik,Puma,3,1909.0,5727.0,1432.77,0.0
SP-2024-000022,1,SP-GYM-TS-003,Hummel Sportswear Essential Erkek Tişört,Giyim,Tişört,Hummel,1,859.0,859.0,0.0,0.0
SP-2024-000023,1,SP-AYK-BK-114,Columbia LeBron XXI Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Columbia,1,4189.0,4189.0,0.0,0.0
SP-2024-000024,1,SP-AYK-KS-028,Hummel Nitro Elite 2 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Hummel,1,2579.0,2579.0,0.0,0.0
SP-2024-000024,2,SP-GYM-SR-109,Hummel Aeroready Erkek Şort,Giyim,Şort,Hummel,2,989.0,1978.0,0.0,0.0
SP-2024-000025,1,SP-GYM-CK-104,Puma Run Favorite Kadın Ceket,Giyim,Ceket,Puma,1,1559.0,1559.0,0.0,0.0
SP-2024-000026,1,SP-AYK-SN-037,Reebok Stan Smith Unisex Sneaker,Ayakkabı,Sneaker,Reebok,1,2369.0,2369.0,0.0,0.0
SP-2024-000027,1,SP-AYK-SN-069,Nike Club C 85 Erkek Sneaker,Ayakkabı,Sneaker,Nike,1,1619.0,1619.0,0.0,0.0
SP-2024-000028,1,SP-AYK-GN-077,Nike Tanjun Erkek Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Nike,2,2149.0,4298.0,0.0,0.0
SP-2024-000029,1,SP-AYK-SN-037,Reebok Stan Smith Unisex Sneaker,Ayakkabı,Sneaker,Reebok,1,2369.0,2369.0,0.0,0.0
SP-2024-000029,2,SP-AYK-KS-028,Hummel Nitro Elite 2 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Hummel,1,2579.0,2579.0,0.0,0.0
SP-2024-000030,1,SP-AYK-HS-094,The North Face Mercurial Vapor 15 Club TF Erkek Halı Saha,Ayakkabı,Halı Saha Ayakkabısı,The North Face,2,1709.0,3418.0,0.0,0.0
SP-2024-000030,2,SP-AKS-CR-017,Nike Trefoil Liner 3'lü Kadın Çorap,Aksesuar,Çorap,Nike,2,349.0,698.0,0.0,0.0
SP-2024-000031,1,SP-AYK-KS-015,Asics Gel-Nimbus 26 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Asics,1,2999.0,2999.0,0.0,1073.97
SP-2024-000031,2,SP-GYM-TY-139,Lacoste Pro Dri-FIT Kadın Tayt,Giyim,Tayt,Lacoste,2,1249.0,2498.0,0.0,894.55
SP-2024-000032,1,SP-AKS-SP-040,Puma Baseball Cap Erkek Şapka,Aksesuar,Şapka,Puma,1,419.0,419.0,65.58,0.0
SP-2024-000033,1,SP-AKS-SP-035,U.S. Polo Assn. Baseball Cap Kadın Şapka,Aksesuar,Şapka,U.S. Polo Assn.,2,509.0,1018.0,0.0,684.36
SP-2024-000033,2,SP-AYK-GN-090,Adidas Go Walk 7 Kadın Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Adidas,1,2319.0,2319.0,0.0,1558.98
SP-2024-000034,1,SP-AYK-TR-140,Reebok Victori One Slide Unisex Terlik,Ayakkabı,Terlik,Reebok,1,759.0,759.0,0.0,0.0
SP-2024-000034,2,SP-GYM-TS-016,New Balance Cotton Logo Kadın Tişört,Giyim,Tişört,New Balance,1,869.0,869.0,0.0,0.0
SP-2024-000035,1,SP-AYK-KS-007,Skechers Air Zoom Pegasus 41 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Skechers,2,4089.0,8178.0,0.0,0.0
SP-2024-000036,1,SP-GYM-FR-130,Lacoste Beşiktaş 2024/25 İç Saha Forması,Giyim,Forma,Lacoste,1,1569.0,1569.0,0.0,0.0
SP-2024-000037,1,SP-AYK-BK-117,Adidas Air Jordan 1 Mid Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Adidas,1,3689.0,3689.0,0.0,0.0
SP-2024-000038,1,SP-GYM-ET-064,The North Face Sportswear Sport Essentials Kadın Eşofman Takımı,Giyim,Eşofman Takımı,The North Face,3,1749.0,5247.0,0.0,0.0
SP-2024-000039,1,SP-AYK-SN-039,Birkenstock Stan Smith Kadın Sneaker,Ayakkabı,Sneaker,Birkenstock,1,2479.0,2479.0,0.0,0.0
SP-2024-000040,1,SP-AYK-SN-032,Hummel Air Force 1 '07 Kadın Sneaker,Ayakkabı,Sneaker,Hummel,2,3379.0,6758.0,0.0,0.0
SP-2024-000040,2,SP-AYK-OD-135,Adidas Facet 75 Mid Kadın Outdoor Bot,Ayakkabı,Outdoor Ayakkabı,Adidas,1,3759.0,3759.0,727.29,0.0
SP-2024-000040,3,SP-AKS-SP-042,Puma Baseball Cap Unisex Şapka,Aksesuar,Şapka,Puma,1,429.0,429.0,35.05,0.0
SP-2024-000040,4,SP-AYK-TR-153,Adidas Adilette Comfort Erkek Terlik,Ayakkabı,Terlik,Adidas,1,749.0,749.0,46.47,0.0
SP-2024-000041,1,SP-AYK-KS-021,Converse Fresh Foam X 1080v13 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Converse,1,4669.0,4669.0,0.0,0.0
SP-2024-000041,2,SP-AYK-SN-050,The North Face Old Skool Erkek Sneaker,Ayakkabı,Sneaker,The North Face,2,2429.0,4858.0,0.0,0.0
SP-2024-000041,3,SP-AYK-GN-082,Hummel Tanjun Kadın Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Hummel,1,1589.0,1589.0,0.0,0.0
SP-2024-000042,1,SP-GYM-FR-125,The North Face Fenerbahçe 2024/25 İç Saha Forması,Giyim,Forma,The North Face,3,1839.0,5517.0,0.0,0.0
SP-2024-000042,2,SP-AYK-SN-044,Reebok Old Skool Erkek Sneaker,Ayakkabı,Sneaker,Reebok,1,2049.0,2049.0,0.0,0.0
SP-2024-000043,1,SP-AYK-KS-021,Converse Fresh Foam X 1080v13 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Converse,2,4669.0,9338.0,0.0,0.0
SP-2024-000044,1,SP-GYM-FR-127,Jack & Jones Fenerbahçe 2024/25 İç Saha Forması,Giyim,Forma,Jack & Jones,1,1979.0,1979.0,0.0,0.0
SP-2024-000045,1,SP-AKS-EB-058,Nike Fleece Bere ve Eldiven Seti,Aksesuar,Eldiven ve Bere,Nike,1,389.0,389.0,0.0,0.0
SP-2024-000046,1,SP-AYK-OD-129,Lacoste Terrex AX4 Kadın Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Lacoste,1,2719.0,2719.0,0.0,0.0
SP-2024-000046,2,SP-AKS-CR-003,The North Face Everyday Cushioned 3'lü Unisex Çorap,Aksesuar,Çorap,The North Face,1,359.0,359.0,0.0,0.0
SP-2024-000047,1,SP-AKS-EB-056,Puma Fleece Bere ve Eldiven Seti,Aksesuar,Eldiven ve Bere,Puma,1,689.0,689.0,152.5,0.0
SP-2024-000048,1,SP-GYM-TY-139,Lacoste Pro Dri-FIT Kadın Tayt,Giyim,Tayt,Lacoste,1,1249.0,1249.0,0.0,0.0
SP-2024-000048,2,SP-GYM-SW-033,Columbia Essentials 3-Stripes Erkek Sweatshirt,Giyim,Sweatshirt,Columbia,1,1099.0,1099.0,0.0,0.0
SP-2024-000049,1,SP-AYK-OD-125,Birkenstock X Ultra 4 GTX Kadın Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Birkenstock,1,3859.0,3859.0,0.0,0.0
SP-2024-000050,1,SP-AYK-SN-043,Columbia Stan Smith Unisex Sneaker,Ayakkabı,Sneaker,Columbia,2,2219.0,4438.0,0.0,0.0
SP-2024-000051,1,SP-AYK-GN-083,Asics Tanjun Erkek Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Asics,1,1719.0,1719.0,0.0,0.0
SP-2024-000051,2,SP-AYK-BT-178,Crocs Manoa Leather Erkek Bot,Ayakkabı,Bot ve Çizme,Crocs,3,3129.0,9387.0,0.0,0.0
SP-2024-000052,1,SP-AYK-TR-145,Columbia Victori One Slide Kadın Terlik,Ayakkabı,Terlik,Columbia,1,1149.0,1149.0,0.0,0.0
SP-2024-000053,1,SP-AYK-TR-166,Puma Arizona Kadın Sandalet,Ayakkabı,Terlik,Puma,1,2179.0,2179.0,636.9,0.0
SP-2024-000054,1,SP-AYK-GN-086,Hummel Lite Racer Adapt 6.0 Kadın Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Hummel,1,1679.0,1679.0,0.0,0.0
SP-2024-000055,1,SP-GYM-JN-122,Under Armour 511 Slim Fit Erkek Jean,Giyim,Jean,Under Armour,1,1879.0,1879.0,0.0,654.97
SP-2024-000056,1,SP-AYK-TR-143,Birkenstock Victori One Slide Unisex Terlik,Ayakkabı,Terlik,Birkenstock,2,779.0,1558.0,0.0,0.0
SP-2024-000056,2,SP-GYM-EA-048,Lacoste Sportswear Club Kadın Eşofman Altı,Giyim,Eşofman Altı,Lacoste,1,1089.0,1089.0,0.0,0.0
SP-2024-000056,3,SP-GYM-SW-040,Lacoste Core Logo Kadın Hoodie,Giyim,Sweatshirt,Lacoste,2,849.0,1698.0,0.0,0.0
SP-2024-000057,1,SP-AKS-SP-037,The North Face Baseball Cap Erkek Şapka,Aksesuar,Şapka,The North Face,1,539.0,539.0,0.0,0.0
SP-2024-000058,1,SP-AYK-KS-024,Asics Fresh Foam X 1080v13 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Asics,1,4729.0,4729.0,0.0,0.0
SP-2024-000058,2,SP-AYK-SN-053,Birkenstock Old Skool Erkek Sneaker,Ayakkabı,Sneaker,Birkenstock,2,2279.0,4558.0,0.0,0.0
SP-2024-000059,1,SP-AYK-BT-185,Nike Nuptse II Kadın Bot,Ayakkabı,Bot ve Çizme,Nike,1,4719.0,4719.0,0.0,0.0
SP-2024-000059,2,SP-AYK-KS-003,Nike Air Zoom Pegasus 41 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Nike,1,3759.0,3759.0,0.0,0.0
SP-2024-000059,3,SP-GYM-TS-008,Vans Trefoil Essentials Kadın Tişört,Giyim,Tişört,Vans,1,899.0,899.0,0.0,0.0
SP-2024-000059,4,SP-GYM-TS-023,Vans Tech Erkek Antrenman Tişört,Giyim,Tişört,Vans,2,829.0,1658.0,0.0,0.0
SP-2024-000059,5,SP-AYK-KS-001,New Balance Air Zoom Pegasus 41 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,New Balance,1,2939.0,2939.0,0.0,0.0
SP-2024-000060,1,SP-AYK-SN-054,Birkenstock Old Skool Kadın Sneaker,Ayakkabı,Sneaker,Birkenstock,1,1609.0,1609.0,366.36,0.0
SP-2024-000060,2,SP-AYK-OD-129,Lacoste Terrex AX4 Kadın Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Lacoste,1,2719.0,2719.0,789.46,0.0
SP-2024-000060,3,SP-AYK-SN-071,New Balance Club C 85 Erkek Sneaker,Ayakkabı,Sneaker,New Balance,2,2349.0,4698.0,0.0,0.0
SP-2024-000060,4,SP-AYK-SN-050,The North Face Old Skool Erkek Sneaker,Ayakkabı,Sneaker,The North Face,1,2429.0,2429.0,441.96,0.0
SP-2024-000061,1,SP-AYK-KS-021,Converse Fresh Foam X 1080v13 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Converse,1,4669.0,4669.0,0.0,0.0
SP-2024-000061,2,SP-AYK-SN-065,Asics Suede Classic XXI Erkek Sneaker,Ayakkabı,Sneaker,Asics,2,2549.0,5098.0,0.0,0.0
SP-2024-000062,1,SP-AYK-TR-163,Skechers Classic Clog Kadın Terlik,Ayakkabı,Terlik,Skechers,2,1679.0,3358.0,764.77,0.0
SP-2024-000062,2,SP-GYM-MN-090,Nike Silver Ridge Kadın Yağmurluk,Giyim,Mont,Nike,1,2469.0,2469.0,0.0,0.0
SP-2024-000063,1,SP-AYK-TR-153,Adidas Adilette Comfort Erkek Terlik,Ayakkabı,Terlik,Adidas,2,749.0,1498.0,0.0,0.0
SP-2024-000063,2,SP-AYK-SN-061,Puma Chuck Taylor All Star Unisex Sneaker,Ayakkabı,Sneaker,Puma,2,1899.0,3798.0,0.0,0.0
SP-2024-000063,3,SP-GYM-ET-069,Under Armour Basic 3-Stripes Erkek Eşofman Takımı,Giyim,Eşofman Takımı,Under Armour,1,1979.0,1979.0,0.0,0.0
SP-2024-000064,1,SP-GYM-CK-103,Puma Run Favorite Erkek Ceket,Giyim,Ceket,Puma,1,1519.0,1519.0,0.0,0.0
SP-2024-000064,2,SP-GYM-TS-001,Adidas Sportswear Essential Erkek Tişört,Giyim,Tişört,Adidas,1,669.0,669.0,79.49,0.0
SP-2024-000065,1,SP-GYM-MN-090,Nike Silver Ridge Kadın Yağmurluk,Giyim,Mont,Nike,1,2469.0,2469.0,0.0,1876.0
SP-2024-000065,2,SP-AYK-KS-020,Under Armour Fresh Foam X 1080v13 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Under Armour,1,3289.0,3289.0,0.0,2499.06
SP-2024-000066,1,SP-AKS-CR-004,U.S. Polo Assn. Everyday Cushioned 3'lü Erkek Çorap,Aksesuar,Çorap,U.S. Polo Assn.,1,209.0,209.0,0.0,0.0
SP-2024-000066,2,SP-GYM-FR-130,Lacoste Beşiktaş 2024/25 İç Saha Forması,Giyim,Forma,Lacoste,1,1569.0,1569.0,0.0,0.0
SP-2024-000066,3,SP-GYM-SR-108,Puma Aeroready Kadın Şort,Giyim,Şort,Puma,1,649.0,649.0,0.0,0.0
SP-2024-000067,1,SP-GYM-MN-075,Lacoste Sportswear Windrunner Erkek Mont,Giyim,Mont,Lacoste,1,2099.0,2099.0,0.0,0.0
SP-2024-000067,2,SP-AYK-BK-118,Hummel Air Jordan 1 Mid Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Hummel,1,3079.0,3079.0,0.0,0.0
SP-2024-000067,3,SP-GYM-JN-113,Under Armour 501 Original Fit Erkek Jean,Giyim,Jean,Under Armour,1,2269.0,2269.0,0.0,0.0
SP-2024-000068,1,SP-AKS-CR-008,Nike Everyday Cushioned 3'lü Kadın Çorap,Aksesuar,Çorap,Nike,1,299.0,299.0,0.0,0.0
SP-2024-000068,2,SP-GYM-ET-065,Jack & Jones Sportswear Sport Essentials Erkek Eşofman Takımı,Giyim,Eşofman Takımı,Jack & Jones,1,2769.0,2769.0,0.0,0.0
SP-2024-000069,1,SP-AYK-KS-019,Under Armour Fresh Foam X 1080v13 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Under Armour,1,4569.0,4569.0,0.0,0.0
SP-2024-000070,1,SP-AYK-SN-075,Vans Club C 85 Erkek Sneaker,Ayakkabı,Sneaker,Vans,1,1629.0,1629.0,0.0,0.0
SP-2024-000071,1,SP-GYM-CK-099,Levi's Run Favorite Erkek Ceket,Giyim,Ceket,Levi's,1,2229.0,2229.0,480.11,1245.16
SP-2024-000071,2,SP-AKS-CR-001,The North Face Everyday Cushioned 3'lü Erkek Çorap,Aksesuar,Çorap,The North Face,1,239.0,239.0,0.0,133.51
SP-2024-000072,1,SP-AYK-KS-023,Asics Fresh Foam X 1080v13 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Asics,1,4189.0,4189.0,0.0,0.0
SP-2024-000073,1,SP-AYK-GN-090,Adidas Go Walk 7 Kadın Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Adidas,1,2319.0,2319.0,192.16,0.0
SP-2024-000073,2,SP-AYK-KS-026,Adidas Fresh Foam X 1080v13 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Adidas,1,3609.0,3609.0,0.0,0.0
SP-2024-000073,3,SP-GYM-TS-015,New Balance Cotton Logo Erkek Tişört,Giyim,Tişört,New Balance,1,439.0,439.0,0.0,0.0
SP-2024-000073,4,SP-AYK-HS-099,Nike Predator Accuracy.3 TF Erkek Halı Saha,Ayakkabı,Halı Saha Ayakkabısı,Nike,1,2249.0,2249.0,0.0,0.0
SP-2024-000073,5,SP-GYM-FR-127,Jack & Jones Fenerbahçe 2024/25 İç Saha Forması,Giyim,Forma,Jack & Jones,2,1979.0,3958.0,475.26,0.0
SP-2024-000074,1,SP-AYK-VL-174,Birkenstock Gel-Task MT 3 Kadın Voleybol Ayakkabısı,Ayakkabı,Voleybol Ayakkabısı,Birkenstock,1,2109.0,2109.0,0.0,0.0
SP-2024-000075,1,SP-GYM-MN-071,Jack & Jones Sportswear Windrunner Erkek Mont,Giyim,Mont,Jack & Jones,1,2619.0,2619.0,0.0,0.0
SP-2024-000076,1,SP-AYK-GN-083,Asics Tanjun Erkek Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Asics,1,1719.0,1719.0,0.0,1408.61
SP-2024-000076,2,SP-AYK-SN-050,The North Face Old Skool Erkek Sneaker,Ayakkabı,Sneaker,The North Face,1,2429.0,2429.0,0.0,1990.41
SP-2024-000076,3,SP-AYK-BK-114,Columbia LeBron XXI Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Columbia,1,4189.0,4189.0,0.0,3432.62
SP-2024-000077,1,SP-AYK-KS-011,Columbia Ultraboost Light Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Columbia,2,4989.0,9978.0,0.0,0.0
SP-2024-000077,2,SP-GYM-ET-070,Under Armour Basic 3-Stripes Kadın Eşofman Takımı,Giyim,Eşofman Takımı,Under Armour,1,1929.0,1929.0,0.0,0.0
SP-2024-000078,1,SP-AYK-TR-156,Asics Adilette Comfort Erkek Terlik,Ayakkabı,Terlik,Asics,1,1269.0,1269.0,0.0,0.0
SP-2024-000078,2,SP-AYK-OD-122,Hummel X Ultra 4 GTX Erkek Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Hummel,1,3959.0,3959.0,657.63,0.0
SP-2024-000078,3,SP-AKS-SC-045,The North Face Linear Backpack Unisex Sırt Çantası,Aksesuar,Sırt Çantası,The North Face,3,869.0,2607.0,0.0,0.0
SP-2024-000078,4,SP-AYK-KS-009,Converse Ultraboost Light Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Converse,1,3759.0,3759.0,0.0,0.0
SP-2024-000079,1,SP-AYK-TR-165,Puma Arizona Erkek Sandalet,Ayakkabı,Terlik,Puma,1,1909.0,1909.0,0.0,0.0
SP-2024-000080,1,SP-AYK-BK-118,Hummel Air Jordan 1 Mid Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Hummel,1,3079.0,3079.0,921.83,0.0
SP-2024-000080,2,SP-GYM-JN-122,Under Armour 511 Slim Fit Erkek Jean,Giyim,Jean,Under Armour,1,1879.0,1879.0,450.24,0.0
SP-2024-000080,3,SP-AKS-SC-045,The North Face Linear Backpack Unisex Sırt Çantası,Aksesuar,Sırt Çantası,The North Face,1,869.0,869.0,0.0,0.0
SP-2024-000080,4,SP-AYK-GN-088,Skechers Lite Racer Adapt 6.0 Kadın Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Skechers,1,1669.0,1669.0,0.0,0.0
SP-2024-000080,5,SP-GYM-CK-096,Vans Sportswear Windrunner Kadın Rüzgarlık,Giyim,Ceket,Vans,3,2349.0,7047.0,0.0,0.0
SP-2024-000081,1,SP-AYK-BT-179,Converse Manoa Leather Erkek Bot,Ayakkabı,Bot ve Çizme,Converse,1,2909.0,2909.0,0.0,0.0
SP-2024-000082,1,SP-AKS-CR-021,The North Face Trefoil Liner 3'lü Unisex Çorap,Aksesuar,Çorap,The North Face,1,269.0,269.0,0.0,0.0
SP-2024-000082,2,SP-AYK-BK-117,Adidas Air Jordan 1 Mid Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Adidas,1,3689.0,3689.0,0.0,0.0
SP-2024-000083,1,SP-AYK-SN-036,Reebok Stan Smith Kadın Sneaker,Ayakkabı,Sneaker,Reebok,1,2959.0,2959.0,0.0,0.0
SP-2024-000084,1,SP-AYK-KR-105,Skechers Mercurial Superfly 9 Elite FG Erkek Krampon,Ayakkabı,Krampon,Skechers,1,4789.0,4789.0,0.0,0.0
SP-2024-000084,2,SP-GYM-EA-054,Converse Essentials Fleece Kadın Eşofman Altı,Giyim,Eşofman Altı,Converse,1,939.0,939.0,0.0,0.0
SP-2024-000085,1,SP-AYK-SN-065,Asics Suede Classic XXI Erkek Sneaker,Ayakkabı,Sneaker,Asics,1,2549.0,2549.0,0.0,0.0
SP-2024-000085,2,SP-AKS-SP-037,The North Face Baseball Cap Erkek Şapka,Aksesuar,Şapka,The North Face,1,539.0,539.0,0.0,0.0
SP-2024-000086,1,SP-GYM-ET-070,Under Armour Basic 3-Stripes Kadın Eşofman Takımı,Giyim,Eşofman Takımı,Under Armour,1,1929.0,1929.0,0.0,0.0
